"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"4151",10,1.79,"Exp2","mixed","LGM",1.50973994387784,0.193862653818477,0.224096313305025,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4152",10,1.8,"Exp2","mixed","LGM",1.51484297330215,0.194388990503771,0.213465005517594,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4153",10,1.81,"Exp2","mixed","LGM",1.5199348804968,0.194914530815043,0.211209784229273,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4154",10,1.82,"Exp2","mixed","LGM",1.52501575109998,0.195439278494242,0.213371037596284,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4155",10,1.83,"Exp2","mixed","LGM",1.53008566962375,0.195963237259846,0.203594139991849,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4156",10,1.84,"Exp2","mixed","LGM",1.5351447194749,0.196486410806927,0.209864993803588,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4157",10,1.85,"Exp2","mixed","LGM",1.5401929829754,0.19700880280722,0.204709993147924,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4158",10,1.86,"Exp2","mixed","LGM",1.54523054138221,0.197530416909197,0.197830538203403,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4159",10,1.87,"Exp2","mixed","LGM",1.55025747490678,0.198051256738141,0.200551662440062,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4160",10,1.88,"Exp2","mixed","LGM",1.55527386273395,0.198571325896235,0.19081587817614,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4161",10,1.89,"Exp2","mixed","LGM",1.56027978304054,0.199090627962641,0.196674161954775,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4162",10,1.9,"Exp2","mixed","LGM",1.5652753130134,0.199609166493596,0.193103205734388,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4163",10,1.91,"Exp2","mixed","LGM",1.5702605288671,0.200126945022506,0.192968028037734,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4164",10,1.92,"Exp2","mixed","LGM",1.57523550586121,0.200643967060036,0.192329357286025,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
