"","NSub","Exp","priortype","range","m_m_BIAS","m_m_err","m_m_RP","m_sd_RP","m_sd_err","m_se_RP","m_se_err","m_sd_BIAS","m_se_BIAS","m_CV","n","se_CV","m_NBIAS","m_NRMSE"
"83","11","Exp1","IR","long",0.191109226626374,-0.00152507352747253,1.74692615934066,0.223030029391779,0.22303001960655,0.06345230515837,0.0634523020449467,0.22303001960655,0.0398740100281423,0.129579967331491,5,0.011146271155139,0.115046333259541,0.174088491006788
"84","11","Exp1","IR","short",0.0752222606142857,0.0421880591285714,0.625005134285714,0.0811886666432408,0.0811886804189236,0.0225176846591352,0.0225176884798222,0.0811886804189236,0.0150765768808868,0.128889040346519,5,0.0143732266262195,0.126652981673059,0.181235768050673
"85","11","Exp2","BR","long",0.226576394125582,-0.0790323868378282,1.53707004116764,0.255046301548465,0.255046301548465,0.04769412927788,0.04769412927788,0.255046301548465,0.0318898038470532,0.165755466390694,5,0.00443437087513989,0.139160450769875,0.216511820562607
"86","11","Exp2","BR","short",0.0761097182706688,-0.0349624098442034,0.571014317359067,0.0553824168637631,0.0553824168637631,0.0104513290342039,0.0104513290342039,0.0553824168637631,0.00766549517384004,0.0969825857395761,5,0.00990418906660789,0.123020123905552,0.157882281430009
"87","11","Exp2","IR","long",0.3406051484824,-0.324163024496548,1.29193940350892,0.186078717318194,0.186078717318195,0.0516089505048707,0.0516089505048707,0.186078717318195,0.047649447303744,0.144682907793571,5,0.0112018020063203,0.205236973716668,0.252951259843625
"88","11","Exp2","IR","short",0.130255392865203,0.116137259780773,0.722113986984043,0.111845881135588,0.111845881135588,0.031207398369818,0.031207398369818,0.111845881135588,0.0265388425940743,0.153087426272412,5,0.0139746028013014,0.217840009294821,0.267950551209656
"89","12","Exp1","BR","long",0.194605711550443,0.0814245152958621,1.82987572698851,0.217801980762867,0.217801981334314,0.0409127820200692,0.0409127821835933,0.217801981334314,0.0252808295482672,0.121827872797857,5,0.0128875508389115,0.117328490014181,0.169533810802433
"90","12","Exp1","BR","short",0.074115997530557,0.0115975766443122,0.594414662866616,0.08724047719018,0.0872404771268348,0.0168304205755769,0.0168304205640277,0.0872404771268348,0.0110373877092362,0.143728080370401,5,0.00945991143812585,0.127009312291831,0.192140016860398
"91","12","Exp1","IR","long",0.145540824285714,0.0568168571428571,1.80526817142857,0.160320553186105,0.160320606868562,0.0444649211556348,0.0444649360444695,0.160320606868562,0.0299216390366408,0.0870375009762977,5,0.0178318239429844,0.0861849102823449,0.123903463606858
"92","12","Exp1","IR","short",0.0925313861065934,0.0741116470494505,0.656928735714286,0.0728981978278842,0.0728981894998383,0.0203335401726987,0.0203335378570223,0.0728981894998383,0.0153669883053147,0.111721570420801,5,0.0144262797785805,0.163563533097736,0.201422499771573
"93","12","Exp2","BR","long",0.203072369552696,-0.09371774418633,1.52238468381913,0.204422423763446,0.204422423763446,0.0382207624733765,0.0382207624733765,0.204422423763446,0.0238657405775555,0.135394179491733,5,0.0109825218952493,0.126020117217744,0.185191655308705
"94","12","Exp2","BR","short",0.072236857539693,0.00716927994271694,0.613146007145987,0.0699919197241205,0.0699919197241205,0.0131419910167923,0.0131419910167923,0.0699919197241205,0.00968459142150583,0.114307386482641,5,0.0075423009703149,0.12213252026353,0.168313305984201
"95","12","Exp2","IR","long",0.183771525996803,-0.14185498057323,1.47424744743223,0.172831899678368,0.172831899678368,0.047934944332785,0.047934944332785,0.172831899678368,0.0351851451610236,0.116053848366726,5,0.0111445296575408,0.111233142543289,0.160853256963159
"96","12","Exp2","IR","short",0.0894603999785877,0.0729581098501401,0.67893483705341,0.0715125792411886,0.0715125792411886,0.0198340208688298,0.0198340208688298,0.0715125792411886,0.0159920604088062,0.104986137816896,5,0.00937504226169947,0.154948602746002,0.190004591001734
"97","13","Exp1","BR","long",0.191597429486946,-0.0387732706214286,1.70967800147783,0.222272244827959,0.222272234068472,0.0423440949226637,0.0423440929216072,0.222272234068472,0.0275301363461454,0.129795663582319,5,0.00970967848853154,0.109234955843245,0.169766024502477
"98","13","Exp1","BR","short",0.0733688870917241,0.0306601529344828,0.613477232183908,0.0830019656328327,0.0830019705532694,0.015476828381922,0.015476829295952,0.0830019705532694,0.00988161719575433,0.138091003006668,5,0.00994086686705997,0.133343642866196,0.192585532931121
"99","13","Exp1","IR","long",0.150738090959341,0.108055276948352,1.85650647417582,0.148960054368266,0.148960079333272,0.0424532791462696,0.0424532864013119,0.148960079333272,0.0298795667069111,0.0838855932436023,5,0.0134825427347141,0.0898892668954111,0.123126947408012
"100","13","Exp1","IR","short",0.0897730678285714,0.0570531465142857,0.63987023,0.0803056770846336,0.0803056746069904,0.0222727874184231,0.0222727867312485,0.0803056746069904,0.0142501598339251,0.124736515215716,5,0.00717390067273534,0.164615879740257,0.209369685080148
