"","NSub","Exp","priortype","range","minRP","slope","inP","maxDur","mixDur","inPOutlier","CI"
"89","12","Exp1","BR","long",0.275624458968257,0.888903414778526,2.48094447204469,2.4,0.4,"TRUE",0.111096585221474
"90","12","Exp1","BR","short",0.124754079604008,0.806315847206546,0.644110929080741,2.4,0.4,"FALSE",0.193684152793454
"91","12","Exp1","IR","long",0.231727254121923,0.899962731191267,2.31640924308895,2.4,0.4,"FALSE",0.100037268808733
"92","12","Exp1","IR","short",0.124916119352085,0.912555067682957,1.428511819292,2.4,0.4,"FALSE",0.087444932317043
"93","12","Exp2","BR","long",0.513939345691197,0.624151497559952,1.36741091784229,1.954332247557,0.4912,"FALSE",0.375848502440048
"94","12","Exp2","BR","short",0.42168834523443,0.315879305668831,0.616394663585925,1.954332247557,0.4912,"FALSE",0.684120694331169
"95","12","Exp2","IR","long",0.291954931915907,0.731570286034078,1.08764014088609,1.954332247557,0.4912,"FALSE",0.268429713965922
"96","12","Exp2","IR","short",0.327928795066423,0.57924013617976,0.779372804452003,1.954332247557,0.4912,"FALSE",0.42075986382024
"97","13","Exp1","BR","long",0.284621802385244,0.815238486662073,1.54048209090317,2.4,0.4,"FALSE",0.184761513337927
"98","13","Exp1","BR","short",0.105752080715836,0.87099266947875,0.819736989274547,2.4,0.4,"FALSE",0.12900733052125
"99","13","Exp1","IR","long",0.084123112793901,1.01322318071192,-6.3617910566775,2.4,0.4,"TRUE",-0.0132231807119165
"100","13","Exp1","IR","short",0.181475237532949,0.786516085282491,0.850065157241871,2.4,0.4,"FALSE",0.213483914717509
"101","13","Exp2","BR","long",1.10990866796108,0.241392461066904,1.46308678862071,1.954332247557,0.4912,"FALSE",0.758607538933096
