"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"204",204,1,1,0.4,0.411654884788732,0.309963363699353,9,204,"Exp1",8,-0.090036636300647,1,"2","2"
"205",205,1,5,0.8,0.811513688851846,0.845887466217391,9,205,"Exp1",8,0.0458874662173909,1,"2","2"
"206",206,1,4,0.672717132202972,0.682121608886519,0.677840977303276,9,206,"Exp1",8,0.00512384510030395,1,"2","2"
"207",207,1,5,0.8,0.811509956802183,1.01398713686285,9,207,"Exp1",8,0.21398713686285,1,"2","2"
"208",208,1,8,0.565685424949238,0.576351546780643,0.565860160044394,9,208,"Exp1",8,0.000174735095155976,1,"2","2"
"209",209,1,8,0.565685424949238,0.576305207145197,0.717980742618238,9,209,"Exp1",8,0.152295317669,1,"2","2"
"210",210,1,4,0.672717132202972,0.682131561025017,0.741907544652349,9,210,"Exp1",8,0.069190412449377,1,"2","2"
"211",211,1,9,0.672717132202972,0.682253785700595,0.613995222975063,9,211,"Exp1",8,-0.058721909227909,1,"2","2"
"212",212,1,1,0.4,0.411632181476307,0.581806281665195,9,212,"Exp1",8,0.181806281665195,1,"2","2"
"213",213,1,9,0.672717132202972,0.682175412624929,0.501825004121201,9,213,"Exp1",8,-0.170892128081771,1,"2","2"
"214",214,1,8,0.565685424949238,0.576293388981867,0.59788240306807,9,214,"Exp1",8,0.0321969781188319,1,"2","2"
"215",215,1,2,0.475682846001088,0.493975847410184,0.46987367006659,9,215,"Exp1",8,-0.00580917593449803,1,"2","2"
"216",216,1,2,0.475682846001088,0.493999172729673,0.54985774664965,9,216,"Exp1",9,0.074174900648562,1,"2","2"
"217",217,1,2,0.475682846001088,0.493820967283682,0.525903887242748,9,217,"Exp1",9,0.0502210412416599,1,"2","2"
"218",218,1,10,0.8,0.811506224748882,0.717955240266747,9,218,"Exp1",9,-0.0820447597332531,1,"2","2"
"219",219,1,6,0.4,0.411615698252717,0.47788109684916,9,219,"Exp1",9,0.07788109684916,1,"2","2"
