"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_DG","mu_r","sig_r","predY","W_DL_PL","W_DG_PG","sig2_DL","sig2_DG","log_lik","W_P_G","W_L","W_Ds","W_P_S","W_P_L","part"
"1060",104,461,8,0.4,0.565891882477899,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.620278387405351,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.35514336033232,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1061",105,462,8,0.4,0.581917932194756,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.620667676302161,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.36103469632266,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1062",106,463,8,0.672717132202972,0.605974112004787,"Exp1","mixed","DIM",0.309796642446957,0.787068700686972,0.069953172474392,0.786743907893367,0.810084190226635,0.615030107319903,0.00442803576615197,0.00897587439251845,1.24348604745368,0.190534262251498,0.559122827995061,0.250342909753441,0.559122827995061,0.559122827995061,"all"
"1063",107,465,8,0.475682846001088,0.485878260491063,"Exp1","mixed","DIM",0.347929220314365,0.68680048067722,0.0650837411232176,0.686295050936438,0.680791181672698,0.444453612634686,0.00372130173393976,0.00647649944453208,1.31248082856855,0.154638398909889,0.443924036636421,0.40143756445369,0.443924036636421,0.443924036636421,"all"
"1064",108,466,8,1.69705627484772,1.38194872161648,"Exp1","mixed","DIM",0.899984329452126,1.42837737584269,0.118116885291288,1.42806281802572,0.409628619043181,0.910230823364065,0.087599738235487,0.0133200162280533,0.719207029565631,0.819193477211965,0.0409692810092036,0.139837241778832,0.0409692810092036,0.0409692810092036,"all"
"1065",109,468,8,0.8,0.861892989652461,"Exp1","mixed","DIM",0.29476116891117,0.819364142880766,0.0717819635294296,0.819324816769496,0.857799322877596,0.693040369509122,0.00468885348919138,0.0101215322148511,1.21224720115555,0.204281389419138,0.604953391774986,0.190765218805876,0.604953391774986,0.604953391774986,"all"
"1066",110,469,8,1.42704853800327,1.10989743079381,"Exp1","mixed","DIM",0.878046243157995,1.39319984508767,0.1151955053751,1.39291736367043,0.329140625504899,0.877630917869983,0.0703872515163649,0.0128390892177585,0.745824381385351,0.770600530315041,0.0401399358096499,0.189259533875309,0.0401399358096499,0.0401399358096499,"all"
"1067",111,470,8,0.672717132202972,0.829876033700202,"Exp1","mixed","DIM",0.309796642446957,0.787068700686972,0.069953172474392,0.786340032145418,0.810084190226635,0.615030107319903,0.00442803576615197,0.00897587439251845,1.2435713981084,0.190534262251498,0.559122827995061,0.250342909753441,0.559122827995061,0.559122827995061,"all"
"1068",112,471,8,0.4,0.421894109267669,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.620591262523894,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.35959997742086,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1069",113,472,8,0.672717132202972,0.717970479475298,"Exp1","mixed","DIM",0.309796642446957,0.787068700686972,0.069953172474392,0.787100948149447,0.810084190226635,0.615030107319903,0.00442803576615197,0.00897587439251845,1.24235186499437,0.190534262251498,0.559122827995061,0.250342909753441,0.559122827995061,0.559122827995061,"all"
