"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"16617",7,1.71,"Exp1","mixed","IP",1.76493139838102,0.188964829682298,0.247804758096709,0,0.141011205647741,0.858988794352259,"all"
"16618",7,1.72,"Exp1","mixed","IP",1.77404916077645,0.18984148084301,0.243580883350718,0,0.142397794364527,0.857602205635473,"all"
"16619",7,1.73,"Exp1","mixed","IP",1.78314031067965,0.190716366199161,0.236115175495007,0,0.143787325926037,0.856212674073963,"all"
"16620",7,1.74,"Exp1","mixed","IP",1.79220473891361,0.19158947622279,0.234857025190512,0,0.14517974214446,0.85482025785554,"all"
"16621",7,1.75,"Exp1","mixed","IP",1.80124233872806,0.192460801633883,0.226189151395792,0,0.146574985130544,0.853425014869456,"all"
"16622",7,1.76,"Exp1","mixed","IP",1.81025300578561,0.1933303333959,0.228566916236816,0,0.147972997296654,0.852027002703346,"all"
"16623",7,1.77,"Exp1","mixed","IP",1.81923663814767,0.194198062711417,0.217402527581538,0,0.149373721359731,0.850626278640269,"all"
"16624",7,1.78,"Exp1","mixed","IP",1.82819313626019,0.195063981017871,0.216348266283241,0,0.150777100344158,0.849222899655842,"all"
"16625",7,1.79,"Exp1","mixed","IP",1.83712240293918,0.195928079983401,0.207650023484416,0,0.152183077584545,0.847816922415455,"all"
"16626",7,1.8,"Exp1","mixed","IP",1.84602434335603,0.196790351502793,0.200972512077773,0,0.153591596728409,0.846408403271591,"all"
"16627",7,1.81,"Exp1","mixed","IP",1.85489886502267,0.197650787693509,0.203660462896619,0,0.155002601738785,0.844997398261215,"all"
"16628",7,1.82,"Exp1","mixed","IP",1.86374587777654,0.198509380891818,0.202028935923144,0,0.156416036896731,0.843583963103269,"all"
"16629",7,1.83,"Exp1","mixed","IP",1.8725652937654,0.199366123649001,0.193080918007459,0,0.157831846803754,0.842168153196246,"all"
"16630",7,1.84,"Exp1","mixed","IP",1.88135702743189,0.200221008727656,0.183953695645672,0,0.159249976384153,0.840750023615847,"all"
"16631",7,1.85,"Exp1","mixed","IP",1.8901209954981,0.201074029098071,0.185717372889014,0,0.160670370887269,0.839329629112731,"all"
