"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_Ds","mu_r","sig_r","predY","W_PI_PL","sig2_PI","log_lik","W_P_G","W_L","W_P_S","W_P_L","part"
"4045",84,435,14,1.76834346805288,1.34228418729617,"Exp2","mixed","PIM",0.151962735391839,1.26826607663507,0.21670541744072,1.26806925835591,0.542337607952107,0.0487605466441257,0.105403057202662,0.388114763066323,0.459922501541838,0.459922501541838,0.459922501541838,"all"
"4046",85,437,14,0.542862864224572,0.741072196515233,"Exp2","mixed","PIM",0.225424325407742,0.645023537126937,0.107628350430766,0.645057049603134,0.927972145036877,0.00744578478354524,0.810062696031383,0.0557910243474944,0.718784650244763,0.718784650244763,0.718784650244763,"all"
"4047",86,439,14,1.44778166151097,1.1150766933406,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23565518369731,0.542337607952107,0.0487605466441257,0.141161084265146,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4048",87,440,14,1.60005476290647,1.70088733960438,"Exp2","mixed","PIM",0.179502261143262,1.25429158842694,0.213574829929043,1.25481627206042,0.542337607952107,0.0487605466441257,0.121105089280388,0.375510957835062,0.444986781021675,0.444986781021675,0.444986781021675,"all"
"4049",88,441,14,1.44778166151097,1.17928501983079,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23573249329056,0.542337607952107,0.0487605466441257,0.147623589471887,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4050",89,442,14,0.599959465297448,0.625866620603119,"Exp2","mixed","PIM",0.192425228481786,0.660357277357401,0.108763951294355,0.661454962080472,0.927972145036877,0.00744578478354524,0.800590214220566,0.0581678785147912,0.749406893003422,0.749406893003422,0.749406893003422,"all"
"4051",90,443,14,0.599959465297448,0.801470869744662,"Exp2","mixed","PIM",0.192425228481786,0.660357277357401,0.108763951294355,0.660881365796131,0.927972145036877,0.00744578478354524,0.801287048478721,0.0581678785147912,0.749406893003422,0.749406893003422,0.749406893003422,"all"
"4052",91,444,14,0.7328,0.771448234589116,"Exp2","mixed","PIM",0.137723616191837,0.68273406401016,0.110620763292956,0.682849112305198,0.927972145036877,0.00744578478354524,0.782251903516367,0.0621079183110607,0.800168465497102,0.800168465497102,0.800168465497102,"all"
"4053",92,445,14,1.954332247557,1.3011357788364,"Exp2","mixed","PIM",0.127982798000904,1.27793441291827,0.219395834646681,1.2768183777713,0.542337607952107,0.0487605466441257,0.10471244769104,0.399089478573817,0.472927723425278,0.472927723425278,0.472927723425278,"all"
"4054",93,446,14,0.599959465297448,0.6867946430757,"Exp2","mixed","PIM",0.192425228481786,0.660357277357401,0.108763951294355,0.659716254326042,0.927972145036877,0.00744578478354524,0.802257479597348,0.0581678785147912,0.749406893003422,0.749406893003422,0.749406893003422,"all"
"4055",94,447,14,0.542862864224572,0.594959723015563,"Exp2","mixed","PIM",0.225424325407742,0.645023537126937,0.107628350430766,0.645397092009172,0.927972145036877,0.00744578478354524,0.809684949520755,0.0557910243474944,0.718784650244763,0.718784650244763,0.718784650244763,"all"
