"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"2784",5,0.7328,0.853915419280384,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.617605126596799,0.756091807821078,0,1.3540011768212,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2785",5,0.7328,0.709882191586075,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.617545239224552,0.756091807821078,0,1.35032834735687,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2786",5,1.60005476290647,1.75789191979675,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57264830666338,0.146786051523634,0,0.132203744991975,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2787",5,1.31,1.46999091867656,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.32027722412561,0.10469584406112,0,0.305382714947972,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2788",5,1.76834346805288,1.86989948342307,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70396797051544,0.172430353564156,0,0.0569405977193507,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2789",5,1.954332247557,1.82196532924536,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.84203957797425,0.201325728075394,0,-0.0281417995192601,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2790",5,1.44778166151097,1.57390584034874,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.44026555275672,0.12427125802673,0,0.222510862680364,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
"2791",5,1.44778166151097,1.64587938010663,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.4420703368662,0.12427125802673,0,0.214019121776339,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
"2792",5,1.44778166151097,1.68588230354726,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.44192902086051,0.12427125802673,0,0.220492508628334,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
"2793",5,1.60005476290647,1.52582986822563,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57010366379563,0.146786051523634,0,0.138092549040131,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
