"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"92",14,"Exp1","DIM","linear",0.0198933374607711,1.66961487080903,1.26049746668933,22.674569292853,63.2297356120543,-11.3372846464265,6.97224573239497,0.864944192418391,-32.85153184563,35.4666850428128,6.70531003426569,0.142858153071475,16.425765922815,0,0,0,0,"part2"
"93",15,"Exp1","DIM","linear",0.316740815971554,0.892487594457655,0.691918343743184,26.5490842087774,59.8824729739761,-13.2745421043887,8.49332122776745,0.884411496738288,-25.2666512331,33.9746052530374,8.33238087134216,0.120345436711398,12.63332561655,0,0,0,0,"part1"
"94",15,"Exp1","DIM","linear",0.323143033188336,0.822923961611272,0.526871377868,36.9958176257829,61.4741301538165,-18.4979088128915,8.70142788451778,0.902208710248174,-15.8765058281247,35.0379684268627,8.71654405656518,0.120163639790463,7.93825291406233,0,0,0,0,"part2"
"95",16,"Exp1","DIM","linear",0.0741203085885854,1.1883383194312,0.985216632538462,-9.32103813470527,60.1018709843366,4.66051906735263,6.70175640048321,0.884271030013075,-61.3275046855453,34.0986377089166,6.60410260390525,0.132649130004405,30.6637523427726,0,0,0,0,"part1"
"96",16,"Exp1","DIM","linear",0.0840118860479347,0.878365558924935,0.386134413274606,-7.21640347783966,62.5573608321848,3.60820173891983,6.83732277446609,1.03675668514404,-63.0155701427462,34.6577774997315,6.51158205629663,0.130656695755531,31.5077850713731,0,0,0,0,"part2"
"97",1,"Exp2","DIM","linear",-0.364298264177826,1.01800118017803,0.643677466990336,-26.2915364791178,61.3990144688041,13.1457682395589,4.82488255813289,0.967697173771746,-79.9197948853941,34.5848852656659,4.41179018795861,0.123329820110711,39.9598974426971,0,0,0,0,"part1"
"98",1,"Exp2","DIM","linear",-0.384111566131572,1.1593981715041,0.80687479281959,-24.3710174462288,63.5642586985751,12.1855087231144,4.52100897130026,0.780487815546224,-79.8966148936251,35.8014599748769,4.34834257768307,0.109992966759452,39.9483074468126,0,0,0,0,"part2"
"99",2,"Exp2","DIM","linear",-0.081587519344867,1.26960729329941,1.10659861993833,-16.9952841170263,59.36281839364,8.49764205851316,7.60037143773035,0.766639240607017,-65.967831366301,34.8765447690027,7.27705362054869,0.136588005580927,32.9839156831505,0,0,0,0,"part1"
"100",2,"Exp2","DIM","linear",-0.202721017266459,1.41441908222143,1.13414210233333,-21.9860028720126,63.1309258009513,10.9930014360063,7.60815160996553,0.96131308745786,-75.8570172366683,36.1954186186234,7.32212598026344,0.127958771441059,37.9285086183341,0,0,0,0,"part2"
"101",3,"Exp2","DIM","linear",0.252504654408317,0.753580587840166,0.0941058608324085,-0.755154952447416,57.7827165404448,0.377577476223708,7.43670401685657,0.828581508046854,-49.790487570134,33.2650502316015,7.19290000763809,0.132207171888517,24.895243785067,0,0,0,0,"part1"
