"","curDur","wp","mu_r","sig_r","predY","NSub","exp","model","group","ver"
"6674",1.76,0.405368257736072,1.66556673391136,0.204213992088695,1.66494901767607,2,"Exp1","baseline","long","log"
"6675",1.77,0.405368257736072,1.67118818172258,0.204854559394357,1.66967467717995,2,"Exp1","baseline","long","log"
"6676",1.78,0.405368257736072,1.67679686803075,0.205493822721741,1.67629620381577,2,"Exp1","baseline","long","log"
"6677",1.79,0.405368257736072,1.68239289357475,0.206131791144533,1.68215950910997,2,"Exp1","baseline","long","log"
"6678",1.8,0.405368257736072,1.68797635773981,0.206768473630418,1.68676982535919,2,"Exp1","baseline","long","log"
"6679",1.81,0.405368257736072,1.69354735858309,0.207403879042802,1.69467788637599,2,"Exp1","baseline","long","log"
"6680",1.82,0.405368257736072,1.6991059928587,0.208038016142497,1.69850172631098,2,"Exp1","baseline","long","log"
"6681",1.83,0.405368257736072,1.70465235604208,0.20867089358937,1.70300416561457,2,"Exp1","baseline","long","log"
"6682",1.84,0.405368257736072,1.71018654235377,0.20930251994396,1.7105150123431,2,"Exp1","baseline","long","log"
"6683",1.85,0.405368257736072,1.71570864478262,0.209932903669064,1.71553718126327,2,"Exp1","baseline","long","log"
"6684",1.86,0.405368257736072,1.7212187551085,0.210562053131287,1.72078006139641,2,"Exp1","baseline","long","log"
"6685",1.87,0.405368257736072,1.72671696392441,0.211189976602562,1.72564565184578,2,"Exp1","baseline","long","log"
"6686",1.88,0.405368257736072,1.73220336065807,0.211816682261641,1.73213868396147,2,"Exp1","baseline","long","log"
"6687",1.89,0.405368257736072,1.73767803359308,0.212442178195554,1.73754292428795,2,"Exp1","baseline","long","log"
"6688",1.9,0.405368257736072,1.74314106988947,0.213066472401043,1.743528667363,2,"Exp1","baseline","long","log"
"6689",1.91,0.405368257736072,1.74859255560388,0.213689572785961,1.74932357914898,2,"Exp1","baseline","long","log"
"6690",1.92,0.405368257736072,1.7540325757092,0.21431148717065,1.75536459071025,2,"Exp1","baseline","long","log"
"6691",1.93,0.405368257736072,1.75946121411383,0.214932223289288,1.75851909776708,2,"Exp1","baseline","long","log"
"6692",1.94,0.405368257736072,1.7648785536804,0.215551788791207,1.76383477057964,2,"Exp1","baseline","long","log"
"6693",1.95,0.405368257736072,1.7702846762442,0.216170191242197,1.77202210938238,2,"Exp1","baseline","long","log"
"6694",1.96,0.405368257736072,1.77567966263104,0.21678743812577,1.77419294490835,2,"Exp1","baseline","long","log"
"6695",1.97,0.405368257736072,1.78106359267485,0.217403536844405,1.78084866347288,2,"Exp1","baseline","long","log"
"6696",1.98,0.405368257736072,1.78643654523479,0.218018494720778,1.78524980299819,2,"Exp1","baseline","long","log"
"6697",1.99,0.405368257736072,1.79179859821203,0.218632318998952,1.79238527394472,2,"Exp1","baseline","long","log"
"6698",2,0.405368257736072,1.79714982856615,0.219245016845556,1.79666345006158,2,"Exp1","baseline","long","log"
"6699",2.01,0.405368257736072,1.80249031233112,0.219856595350942,1.80448664347524,2,"Exp1","baseline","long","log"
"6700",2.02,0.405368257736072,1.80782012463105,0.220467061530309,1.80654407439561,2,"Exp1","baseline","long","log"
